Dimensione,FFT,DCTHome
25.0,108.1087726,0.125
50.0,108.121502,0.90625
75.0,108.1542604,3.078125
100.0,108.2653097,7.25
125.0,108.4819794,17.90625
150.0,109.64050950000001,54.75
175.0,112.59426930000001,39.890625
200.0,113.1580237,54.109375
225.0,113.19856060000001,73.328125
250.0,113.77161239999998,100.8125
275.0,113.99693939999997,138.4375
300.0,114.39970300000004,176.640625
325.0,114.86988389999999,225.5
350.0,115.42597969999997,278.890625
375.0,116.07297279999989,348.40625
400.0,117.08764109999993,430.109375
425.0,118.70702660000006,502.625
450.0,120.14110399999981,603.8125
475.0,121.99595450000015,706.3125
500.0,124.00462470000002,874.375
525.0,131.49021979999998,968.109375
550.0,135.55669219999982,1102.265625
575.0,138.31073939999987,1315.46875
600.0,144.68920049999997,1457.5
625.0,149.88565290000042,1664.203125
650.0,158.35686069999974,1754.453125
675.0,162.89977050000016,1955.96875
700.0,163.0931498000009,2180.015625
